BCW_ID,ratio,bin
BCW_200471,1.1,G
BCW_200659,1.1,G
BCW_200642,1.1,G
BCW_200912,1.1,G
BCW_201184,1.1,G
BCW_201957,1.1,G
BCW_200447,1.1,G
BCW_201853,1.1,G
BCW_201150,1.1,G
BCW_200801,1.1,G
BCW_200525,1.1,G
BCW_201826,1.1,G
BCW_201302,1.1,G
BCW_200462,1.1,G
BCW_200477,1.1,G
BCW_200434,1.1,G
BCW_201008,1.1,G
BCW_200578,1.1,G
BCW_201945,1.1,G
BCW_201726,1.1,G
BCW_200800,1.1,G
BCW_200516,1.1,G
BCW_200776,1.1,G
BCW_201938,1.1,G
BCW_200555,1.1,G
BCW_200719,1.1,G
BCW_200983,1.1,G
BCW_201839,1.1,G
BCW_200797,1.1,G
BCW_200656,1.1,G
BCW_200881,1.1,G
BCW_200855,1.1,G
BCW_201304,1.1,G
BCW_200281,1.1,G
BCW_200574,1.1,G
BCW_200458,1.1,G
BCW_200903,1.1,G
BCW_200650,1.1,G
BCW_200553,1.1,G
BCW_201854,1.1,G
BCW_201841,1.1,G
BCW_200886,1.1,G
BCW_201975,1.1,G
BCW_200588,1.1,G
BCW_200312,1.1,G
BCW_200806,1.1,G
BCW_201257,1.1,G
BCW_200880,1.1,G
BCW_200952,1.1,G
BCW_200134,1.1,G
BCW_200043,1.1,G
BCW_200166,1.1,G
BCW_200070,1.1,G
BCW_200107,1.1,G
BCW_200238,1.1,G
BCW_200102,1.1,G
BCW_200094,1.1,G
BCW_200097,1.0,G
BCW_200209,1.0,G
BCW_200058,1.0,G
BCW_200108,1.0,G
BCW_200015,1.0,G
BCW_200083,1.0,G
BCW_200206,1.0,G
BCW_200060,1.0,G
BCW_200037,1.0,G
BCW_200022,1.0,G
BCW_200054,1.0,G
BCW_200017,1.0,G
BCW_200071,1.0,G
BCW_200020,1.0,G
BCW_200115,1.0,G
BCW_200093,1.0,G
BCW_200038,1.0,G
BCW_200024,1.0,G
BCW_200239,1.0,G
BCW_200087,1.0,G
BCW_200201,1.0,G
BCW_200091,1.0,G
BCW_200012,1.0,G
BCW_200044,1.0,G
BCW_200092,1.0,G
BCW_200223,1.0,G
BCW_200072,1.0,G
BCW_200014,1.0,G
BCW_200031,1.0,G
BCW_200062,1.0,G
BCW_200029,1.0,G
BCW_200028,1.0,G
BCW_200034,1.0,G
BCW_200061,1.0,G
BCW_200002,1.0,G
BCW_200215,1.0,G
BCW_200113,1.0,G
BCW_200035,1.0,G
BCW_200016,1.0,G
BCW_200010,1.0,G
BCW_200027,1.0,G
BCW_200089,1.0,G
BCW_200227,1.0,G
BCW_200066,1.0,G
BCW_200069,1.0,G
BCW_200099,1.0,G
BCW_200007,1.0,G
BCW_200082,1.0,G
BCW_200039,1.0,G
BCW_200036,1.0,G
BCW_200050,1.0,G
BCW_200042,1.0,G
BCW_200021,1.0,G
BCW_200096,1.0,G
BCW_201450,1.0,G
BCW_200436,1.0,G
BCW_201445,1.0,G
BCW_201168,1.0,G
BCW_201010,1.0,G
BCW_200557,1.0,G
BCW_200545,1.0,G
BCW_201254,1.0,G
BCW_200647,1.0,G
BCW_200544,1.0,G
BCW_200915,1.0,G
BCW_201903,1.0,G
BCW_201141,1.0,G
BCW_200798,1.0,G
BCW_201444,1.0,G
BCW_201614,1.0,G
BCW_200716,1.0,G
BCW_201828,1.0,G
BCW_200978,1.0,G
BCW_201013,1.0,G
BCW_200887,1.0,G
BCW_201649,1.0,G
BCW_201982,1.0,G
BCW_201949,1.0,G
BCW_201937,1.0,G
BCW_201081,1.0,G
BCW_201890,1.0,G
BCW_201721,1.0,G
BCW_200438,1.0,G
BCW_201914,1.0,G
BCW_201115,1.0,G
BCW_201639,1.0,G
BCW_200649,1.0,G
BCW_200476,1.0,G
BCW_201615,1.0,G
BCW_200909,1.0,G
BCW_201307,1.0,G
BCW_201350,1.0,G
BCW_200538,1.0,G
BCW_201267,1.0,G
BCW_200988,1.0,G
BCW_200499,1.0,G
BCW_200440,1.0,G
BCW_200879,1.0,G
BCW_200984,1.0,G
BCW_200641,1.0,G
BCW_200311,1.0,G
BCW_200327,1.0,G
BCW_200791,1.0,G
BCW_200775,1.0,G
BCW_201648,1.0,G
BCW_200442,1.0,G
BCW_200559,1.0,G
BCW_200308,1.0,G
BCW_200593,1.0,G
BCW_200989,1.0,G
BCW_202001,1.0,G
BCW_200464,1.0,G
BCW_200820,1.0,G
BCW_200514,1.0,G
BCW_200278,1.0,G
BCW_200663,1.0,G
BCW_200787,1.0,G
BCW_200271,1.0,G
