m/z	15N					
1511.0	0.052					
1360.3	0.051					
1327.5	0.051					
677.3	0.051					
1356.1	0.051					
1680.2	0.051					
328.8	0.051					
314.3	0.051					
1570.0	0.051					
788.2	0.051					
394.4	0.050					
924.8	0.050					
265.2	0.050					
300.0	0.050					
1076.3	0.049					
312.2	0.049					
1694.9	0.049					
939.7	0.049					
182.0	0.049					
180.9	0.049					
1193.5	0.049					
1484.8	0.049					
222.9	0.049					
358.1	0.049					
1638.9	0.049					
988.0	0.048					
1481.6	0.048					
174.1	0.048					
1233.6	0.048					
1482.7	0.048					
1018.8	0.048					
194.0	0.048					
592.9	0.048					
1328.5	0.048					
137.0	0.048					
1231.6	0.048					
398.1	0.048					
657.4	0.047					
264.2	0.047					
835.0	0.047					
1398.4	0.047					
1341.2	0.047					
259.1	0.047					
1412.2	0.047					
160.1	0.047					
732.4	0.047					
1080.6	0.047					
815.5	0.047					
285.1	0.047					
267.3	0.047					
904.6	0.047					
1499.4	0.046					
341.3	0.046					
1359.2	0.046					
663.7	0.046					
870.9	0.046					
460.3	0.046					
1087.9	0.046					
112.1	0.046					
1554.1	0.046					
214.0	0.046					
1303.3	0.045					
734.5	0.045					
1667.5	0.045					
324.2	0.045					
1187.1	0.045					
908.9	0.045					
649.0	0.045					
1750.5	0.045					
1144.7	0.045					
470.3	0.045					
1334.9	0.045					
117.9	0.045					
438.2	0.045					
1637.8	0.044					
1512.0	0.044					
1449.3	0.044					
854.9	0.044					
923.8	0.044					
1373.2	0.044					
1368.8	0.044					
1332.6	0.044					
674.8	0.044					
208.1	0.044					
1109.8	0.044					
1156.5	0.044					
1159.7	0.044					
131.9	0.043					
101.0	0.043					
1216.7	0.043					
198.0	0.043					
1766.2	0.043					
163.1	0.043					
1411.1	0.043					
1117.0	0.043					
444.2	0.042					
728.1	0.042					
257.1	0.042					
953.3	0.042					
1220.9	0.042					
1582.5	0.042					
310.2	0.042					
156.1	0.042					
1217.8	0.042					
1375.3	0.042					
615.5	0.042					
1555.2	0.042					
1513.0	0.042					
1545.6	0.042					
986.8	0.041					
1708.8	0.041					
1271.5	0.041					
819.7	0.041					
1697.1	0.041					
219.1	0.041					
772.5	0.041					
1556.2	0.041					
982.6	0.041					
608.0	0.041					
138.0	0.041					
1500.5	0.041					
605.7	0.041					
1936.5	0.041					
1284.1	0.041					
634.6	0.041					
1033.4	0.041					
1456.7	0.041					
244.1	0.041					
766.9	0.041					
1095.2	0.041					
837.1	0.041					
1374.3	0.040					
1470.2	0.040					
1371.9	0.040					
962.8	0.040					
1315.7	0.040					
981.6	0.040					
1005.3	0.040					
1410.0	0.040					
431.1	0.040					
1072.1	0.040					
288.1	0.040					
914.2	0.040					
1155.5	0.040					
1317.9	0.039					
1339.0	0.039					
1426.1	0.039					
230.1	0.039					
1145.8	0.039					
347.1	0.039					
713.8	0.039					
1355.0	0.039					
1525.6	0.039					
1935.5	0.039					
246.1	0.039					
258.1	0.039					
1188.2	0.039					
250.2	0.039					
462.3	0.039					
1285.1	0.039					
1616.6	0.039					
1447.3	0.038					
489.3	0.038					
1059.6	0.038					
1281.0	0.038					
589.8	0.038					
1340.1	0.038					
1696.0	0.038					
205.1	0.038					
755.0	0.038					
387.2	0.038					
446.2	0.038					
682.5	0.038					
1553.1	0.038					
284.0	0.038					
1864.4	0.038					
1331.6	0.038					
933.5	0.038					
368.1	0.038					
1329.5	0.038					
1180.8	0.038					
741.3	0.037					
286.1	0.037					
240.1	0.037					
159.1	0.037					
1272.5	0.037					
1007.4	0.037					
1304.4	0.037					
1062.7	0.037					
1132.1	0.037					
790.5	0.037					
1362.3	0.037					
1546.7	0.037					
990.3	0.037					
1108.7	0.037					
1485.8	0.037					
780.9	0.037					
1675.0	0.037					
1393.2	0.037					
1557.3	0.037					
919.7	0.037					
1581.5	0.037					
1020.9	0.037					
1219.8	0.037					
345.0	0.037					
1354.0	0.037					
1009.5	0.037					
1376.4	0.036					
1154.5	0.036					
1133.1	0.036					
1032.4	0.036					
1451.4	0.036					
1753.7	0.036					
1316.8	0.036					
384.1	0.036					
1230.5	0.036					
1468.1	0.036					
445.2	0.036					
1492.0	0.036					
210.1	0.036					
1210.3	0.036					
1709.9	0.036					
1097.3	0.036					
1099.4	0.036					
1321.0	0.036					
967.0	0.036					
1377.4	0.036					
1171.3	0.036					
858.2	0.036					
520.3	0.036					
1343.3	0.036					
1135.2	0.036					
1195.5	0.036					
974.4	0.036					
1625.2	0.036					
1677.1	0.036					
364.3	0.036					
579.6	0.036					
1640.0	0.036					
1668.6	0.036					
1318.9	0.036					
650.2	0.036					
1243.0	0.036					
1165.0	0.036					
1273.6	0.036					
1158.6	0.035					
782.9	0.035					
803.2	0.035					
1320.0	0.035					
1306.4	0.035					
890.8	0.035					
1335.9	0.035					
1181.8	0.035					
1041.8	0.035					
1330.5	0.035					
416.3	0.035					
119.9	0.035					
1400.5	0.035					
2120.5	0.035					
1040.7	0.035					
781.9	0.035					
1523.4	0.035					
1414.4	0.035					
825.5	0.035					
1234.6	0.035					
912.1	0.035					
1823.5	0.035					
1598.4	0.035					
1442.0	0.035					
1070.0	0.035					
1378.5	0.035					
1358.2	0.035					
795.7	0.035					
1048.2	0.035					
1169.2	0.035					
1509.9	0.034					
1189.3	0.034					
574.4	0.034					
1246.2	0.034					
270.0	0.034					
1729.1	0.034					
1286.2	0.034					
1543.5	0.034					
122.0	0.034					
1430.2	0.034					
1417.5	0.034					
1514.1	0.034					
350.1	0.034					
1207.2	0.034					
1693.8	0.034					
700.6	0.034					
1541.4	0.034					
1175.4	0.034					
1305.4	0.034					
1203.0	0.034					
884.6	0.034					
1160.7	0.034					
272.1	0.034					
1408.0	0.034					
432.1	0.034					
1443.1	0.034					
308.1	0.034					
742.4	0.034					
1530.8	0.034					
1166.0	0.034					
961.7	0.034					
1047.2	0.034					
871.9	0.034					
688.8	0.034					
1865.4	0.034					
1653.8	0.034					
1571.0	0.034					
1162.8	0.034					
687.8	0.034					
1232.6	0.034					
1168.2	0.034					
1505.8	0.034					
1528.7	0.034					
796.7	0.033					
775.6	0.033					
1780.1	0.033					
295.2	0.033					
1125.6	0.033					
1866.5	0.033					
1245.2	0.033					
857.0	0.033					
1257.7	0.033					
1196.5	0.033					
1307.4	0.033					
1045.0	0.033					
1291.6	0.033					
1229.5	0.033					
224.9	0.033					
636.6	0.033					
1146.8	0.033					
1081.6	0.033					
1409.0	0.033					
414.2	0.033					
503.3	0.033					
1179.6	0.033					
1250.4	0.033					
3198.0	0.033					
1641.0	0.033					
1937.5	0.033					
765.8	0.033					
1836.4	0.033					
977.5	0.033					
1058.6	0.033					
439.3	0.033					
1025.0	0.033					
1338.0	0.033					
1652.8	0.033					
969.1	0.033					
1822.4	0.033					
1223.1	0.033					
1100.4	0.033					
787.2	0.033					
730.3	0.033					
1167.1	0.033					
720.5	0.033					
1467.0	0.033					
1249.3	0.033					
399.1	0.033					
245.1	0.033					
1445.1	0.033					
1287.2	0.032					
1357.1	0.032					
1473.3	0.032					
488.3	0.032					
1247.3	0.032					
619.8	0.032					
1204.1	0.032					
1206.1	0.032					
1951.5	0.032					
934.6	0.032					
1487.9	0.032					
1387.1	0.032					
1038.7	0.032					
1527.7	0.032					
1021.9	0.032					
706.4	0.032					
1879.1	0.032					
243.1	0.032					
1010.5	0.032					
1110.8	0.032					
777.6	0.032					
1431.3	0.032					
390.3	0.032					
1432.3	0.032					
1391.1	0.032					
984.7	0.032					
279.2	0.032					
920.7	0.032					
1405.8	0.032					
1322.1	0.032					
1413.3	0.032					
1255.6	0.032					
1463.9	0.032					
1218.8	0.032					
1173.4	0.032					
964.9	0.032					
1488.9	0.032					
508.7	0.032					
1666.4	0.032					
1098.4	0.032					
1542.5	0.032					
997.7	0.032					
911.0	0.032					
1460.8	0.032					
1471.2	0.032					
889.7	0.032					
966.0	0.032					
1027.1	0.032					
1559.4	0.032					
1665.4	0.032					
985.8	0.032					
802.1	0.032					
434.2	0.032					
1444.1	0.031					
1235.7	0.031					
1767.4	0.031					
1392.2	0.031					
1389.1	0.031					
1342.2	0.031					
1263.0	0.031					
1103.6	0.031					
1174.4	0.031					
2007.0	0.031					
1026.1	0.031					
322.1	0.031					
768.0	0.031					
1450.4	0.031					
1289.4	0.031					
1277.8	0.031					
1241.0	0.031					
1730.2	0.031					
1634.7	0.031					
1538.2	0.031					
1259.8	0.031					
1619.8	0.031					
134.0	0.031					
1501.5	0.031					
758.3	0.031					
1404.7	0.031					
1337.0	0.031					
1205.1	0.031					
1276.8	0.031					
1258.8	0.031					
1613.4	0.031					
1309.5	0.031					
1278.9	0.031					
1676.1	0.031					
1544.6	0.031					
925.9	0.031					
593.9	0.031					
401.1	0.031					
1244.0	0.031					
629.3	0.031					
1572.0	0.031					
1425.0	0.031					
1599.5	0.031					
2050.2	0.031					
1282.0	0.031					
521.3	0.031					
1531.9	0.031					
1894.1	0.031					
1111.8	0.031					
1345.4	0.031					
1344.4	0.031					
1439.7	0.031					
200.1	0.031					
1491.0	0.031					
1364.5	0.030					
1504.7	0.030					
1440.9	0.030					
1584.6	0.030					
2121.6	0.030					
698.5	0.030					
1283.0	0.030					
1380.6	0.030					
1073.1	0.030					
1288.3	0.030					
1120.2	0.030					
1308.4	0.030					
1745.0	0.030					
1585.6	0.030					
1211.4	0.030					
1019.8	0.030					
1191.3	0.030					
1422.9	0.030					
1209.2	0.030					
1264.0	0.030					
1558.3	0.030					
1950.3	0.030					
1517.2	0.030					
1427.1	0.030					
980.6	0.030					
1560.5	0.030					
968.1	0.030					
1458.7	0.030					
757.0	0.030					
743.5	0.030					
1603.7	0.030					
1507.8	0.030					
749.7	0.030					
1242.0	0.030					
1466.0	0.030					
1519.3	0.030					
1261.9	0.030					
411.1	0.030					
1617.7	0.030					
797.8	0.030					
262.1	0.030					
1323.1	0.030					
1464.9	0.030					
1526.7	0.030					
2049.1	0.030					
1420.6	0.030					
1406.9	0.030					
2008.1	0.030					
1395.3	0.030					
369.2	0.030					
1061.7	0.030					
970.1	0.030					
1486.9	0.030					
1824.5	0.030					
1679.1	0.030					
1060.7	0.030					
169.0	0.030					
899.5	0.030					
900.5	0.030					
1461.8	0.030					
1632.5	0.030					
936.7	0.030					
1379.5	0.030					
1136.2	0.030					
1506.8	0.030					
1477.5	0.030					
1949.3	0.030					
1118.1	0.030					
1592.0	0.030					
609.0	0.030					
1615.6	0.030					
1688.6	0.030					
1265.1	0.029					
1521.3	0.029					
1260.8	0.029					
1494.1	0.029					
1092.0	0.029					
490.3	0.029					
1612.3	0.029					
1811.1	0.029					
1457.7	0.029					
1050.3	0.029					
1551.0	0.029					
1516.2	0.029					
1150.0	0.029					
207.1	0.029					
1119.2	0.029					
1394.3	0.029					
1867.5	0.029					
1686.5	0.029					
1178.6	0.029					
1161.8	0.029					
771.5	0.029					
1642.2	0.029					
839.2	0.029					
1053.4	0.029					
1367.7	0.029					
873.2	0.029					
638.6	0.029					
1768.5	0.029					
1647.4	0.029					
1620.9	0.029					
1295.8	0.029					
1535.1	0.029					
1251.4	0.029					
478.3	0.029					
1248.3	0.029					
1715.3	0.029					
1503.6	0.029					
1698.3	0.029					
1740.7	0.029					
975.4	0.029					
1561.5	0.029					
1662.2	0.029					
1837.5	0.029					
1349.8	0.029					
344.0	0.029					
1825.6	0.029					
1239.9	0.029					
1122.4	0.029					
1590.9	0.029					
1659.1	0.029					
1702.4	0.029					
1862.1	0.029					
1022.9	0.029					
1137.3	0.029					
1562.6	0.029					
1437.6	0.029					
1363.4	0.029					
1611.2	0.029					
221.2	0.029					
892.8	0.029					
252.9	0.029					
1006.4	0.029					
1563.7	0.029					
1428.1	0.029					
1347.5	0.029					
336.2	0.029					
949.1	0.029					
327.3	0.029					
254.0	0.028					
1914.1	0.028					
1139.5	0.028					
547.3	0.028					
170.1	0.028					
1190.3	0.028					
1710.9	0.028					
1533.9	0.028					
415.2	0.028					
1039.7	0.028					
950.1	0.028					
522.3	0.028					
1629.4	0.028					
1716.3	0.028					
1923.8	0.028					
1577.3	0.028					
750.8	0.028					
1747.1	0.028					
1104.7	0.028					
1236.8	0.028					
517.2	0.028					
978.5	0.028					
2037.3	0.028					
1656.0	0.028					
1618.7	0.028					
1176.4	0.028					
1140.6	0.028					
1208.2	0.028					
1433.3	0.028					
1448.3	0.028					
1754.7	0.028					
784.1	0.028					
1532.9	0.028					
452.1	0.028					
1088.9	0.028					
1893.0	0.028					
2051.3	0.028					
1940.7	0.028					
237.0	0.028					
1683.4	0.028					
256.1	0.028					
1540.3	0.028					
1274.7	0.028					
1401.6	0.028					
2078.4	0.028					
948.1	0.028					
1399.5	0.028					
1472.3	0.028					
1748.2	0.028					
809.9	0.028					
1547.8	0.028					
233.1	0.028					
1055.5	0.028					
1661.2	0.028					
1880.1	0.028					
1147.9	0.028					
1390.1	0.028					
1600.5	0.028					
1182.8	0.028					
1361.3	0.028					
1587.7	0.028					
1529.7	0.028					
1731.2	0.028					
1723.7	0.028					
798.8	0.028					
1071.1	0.028					
1597.3	0.028					
1177.5	0.028					
1011.5	0.028					
502.3	0.028					
1036.6	0.028					
1462.8	0.028					
1622.0	0.028					
1490.0	0.028					
1435.4	0.028					
1012.5	0.028					
504.3	0.028					
1579.4	0.028					
1266.2	0.028					
1594.1	0.028					
1614.5	0.028					
1743.9	0.028					
1275.7	0.028					
1712.0	0.028					
1068.9	0.027					
864.6	0.027					
1595.1	0.027					
1896.3	0.027					
2191.9	0.027					
1596.3	0.027					
1035.5	0.027					
1827.7	0.027					
651.2	0.027					
863.6	0.027					
548.3	0.027					
1690.7	0.027					
1475.4	0.027					
848.7	0.027					
1781.2	0.027					
862.5	0.027					
1172.3	0.027					
1802.4	0.027					
1350.9	0.027					
1605.9	0.027					
1814.4	0.027					
1915.2	0.027					
1046.2	0.027					
1292.7	0.027					
1091.0	0.027					
1741.8	0.027					
891.8	0.027					
1123.5	0.027					
1573.1	0.027					
1673.9	0.027					
1252.5	0.027					
1224.2	0.027					
1707.8	0.027					
1939.6	0.027					
1649.6	0.027					
1583.5	0.027					
1102.5	0.027					
954.4	0.027					
1720.5	0.027					
1279.9	0.027					
1054.4	0.027					
1008.4	0.027					
1578.4	0.027					
1699.3	0.027					
994.5	0.027					
670.4	0.027					
951.2	0.027					
847.6	0.027					
1669.7	0.027					
2070.8	0.027					
1434.4	0.027					
993.4	0.027					
1724.8	0.027					
1728.0	0.027					
227.0	0.027					
1096.3	0.027					
1365.6	0.027					
836.0	0.027					
1882.2	0.027					
2067.5	0.027					
1633.6	0.027					
442.1	0.027					
1808.9	0.027					
1787.5	0.027					
1446.2	0.027					
1734.5	0.027					
