m/z	15N					
360.1	0.023					
1870.6	0.023					
1975.1	0.023					
2077.4	0.023					
565.8	0.023					
542.0	0.023					
247.1	0.023					
2020.1	0.023					
905.7	0.023					
1959.0	0.022					
1888.7	0.022					
1899.4	0.022					
2010.3	0.022					
1875.9	0.022					
1898.3	0.022					
1926.0	0.022					
1415.5	0.022					
1920.5	0.022					
2192.9	0.022					
1929.1	0.022					
883.6	0.022					
1931.2	0.022					
1997.3	0.022					
1832.1	0.022					
1789.6	0.022					
1830.9	0.022					
332.1	0.022					
1705.6	0.022					
2087.1	0.022					
801.1	0.022					
1908.7	0.022					
740.3	0.022					
1805.6	0.022					
1859.0	0.022					
1727.0	0.022					
756.0	0.022					
391.3	0.022					
1878.0	0.022					
1906.7	0.022					
600.3	0.022					
2112.8	0.022					
1788.6	0.022					
2076.2	0.022					
2000.6	0.022					
2029.9	0.022					
1094.2	0.022					
1833.3	0.022					
1776.8	0.022					
1801.3	0.022					
1903.5	0.022					
722.6	0.022					
1799.2	0.022					
1796.1	0.022					
2035.2	0.022					
1253.5	0.022					
436.2	0.022					
1856.8	0.022					
172.1	0.022					
1947.3	0.022					
2376.5	0.022					
199.1	0.022					
1905.7	0.022					
2306.1	0.022					
2095.5	0.022					
1807.8	0.022					
1851.5	0.022					
1774.6	0.022					
1803.5	0.022					
875.2	0.022					
1946.2	0.022					
661.6	0.022					
1942.9	0.022					
201.1	0.022					
1976.1	0.022					
1765.1	0.022					
348.1	0.022					
1901.5	0.022					
1820.1	0.022					
1985.6	0.022					
1348.8	0.022					
1792.7	0.022					
2046.0	0.022					
1986.7	0.022					
226.0	0.022					
2130.0	0.022					
388.2	0.022					
1700.3	0.022					
1769.5	0.022					
2169.0	0.021					
2052.5	0.021					
2149.6	0.021					
880.5	0.021					
1607.0	0.021					
333.1	0.021					
2044.9	0.021					
2221.8	0.021					
2133.3	0.021					
1775.7	0.021					
381.1	0.021					
2375.4	0.021					
1990.9	0.021					
2317.0	0.021					
1755.8	0.021					
2156.0	0.021					
2242.4	0.021					
251.2	0.021					
338.2	0.021					
626.3	0.021					
2066.4	0.021					
991.3	0.021					
1911.9	0.021					
1777.9	0.021					
2053.5	0.021					
1549.9	0.021					
2206.7	0.021					
2057.8	0.021					
1148.9	0.021					
2082.8	0.021					
1941.8	0.021					
1999.5	0.021					
412.1	0.021					
1296.9	0.021					
2170.1	0.021					
866.6	0.021					
2150.6	0.021					
2134.5	0.021					
2107.4	0.021					
622.9	0.021					
2032.0	0.021					
1963.2	0.021					
458.2	0.021					
2012.5	0.021					
2232.6	0.021					
1954.6	0.021					
1843.8	0.021					
1037.7	0.021					
2108.4	0.021					
1919.4	0.021					
1604.8	0.021					
535.5	0.021					
2105.2	0.021					
895.0	0.021					
212.2	0.021					
853.8	0.021					
2285.2	0.021					
1670.8	0.021					
2122.7	0.021					
2176.7	0.021					
1983.5	0.021					
838.1	0.021					
305.1	0.021					
1790.6	0.021					
2233.8	0.021					
475.2	0.021					
2081.7	0.021					
2034.1	0.021					
738.6	0.021					
1969.6	0.021					
635.6	0.021					
1966.4	0.021					
1848.2	0.021					
1739.7	0.021					
861.4	0.021					
2264.3	0.021					
1795.0	0.021					
1806.7	0.021					
2137.8	0.021					
2115.0	0.021					
474.2	0.021					
1635.7	0.021					
2220.8	0.021					
1993.0	0.021					
1995.2	0.021					
2083.8	0.021					
2019.0	0.021					
2181.0	0.021					
2026.6	0.021					
2091.4	0.021					
1759.9	0.021					
2089.2	0.021					
392.3	0.021					
2248.8	0.021					
359.1	0.021					
261.1	0.021					
197.0	0.021					
1818.9	0.020					
2096.6	0.020					
2268.5	0.020					
2024.5	0.020					
1850.4	0.020					
751.8	0.020					
2196.1	0.020					
1998.5	0.020					
1918.4	0.020					
1844.9	0.020					
2139.9	0.020					
2171.2	0.020					
1065.9	0.020					
539.8	0.020					
2094.5	0.020					
2320.3	0.020					
2174.4	0.020					
1992.0	0.020					
814.5	0.020					
690.9	0.020					
2065.4	0.020					
2390.8	0.020					
2417.1	0.020					
1910.8	0.020					
2141.9	0.020					
1902.5	0.020					
2092.5	0.020					
2099.7	0.020					
1762.0	0.020					
668.4	0.020					
2249.9	0.020					
1746.1	0.020					
1960.0	0.020					
373.3	0.020					
2084.9	0.020					
1900.4	0.020					
2374.3	0.020					
2165.6	0.020					
2013.6	0.020					
694.4	0.020					
1956.7	0.020					
1847.1	0.020					
2180.0	0.020					
376.3	0.020					
1849.3	0.020					
850.7	0.020					
2246.8	0.020					
952.3	0.020					
2222.9	0.020					
2291.8	0.020					
2334.4	0.020					
2126.8	0.020					
2225.0	0.020					
1962.1	0.020					
1664.4	0.020					
334.1	0.020					
596.2	0.020					
1797.1	0.020					
2040.5	0.020					
643.9	0.020					
2188.6	0.020					
1982.4	0.020					
437.2	0.020					
2015.7	0.020					
652.2	0.020					
2058.9	0.020					
1945.1	0.020					
1835.4	0.020					
2183.2	0.020					
2148.5	0.020					
699.6	0.020					
2189.7	0.020					
1977.2	0.020					
2104.2	0.020					
822.4	0.020					
1961.1	0.020					
2270.7	0.020					
640.7	0.020					
2265.4	0.020					
2025.6	0.020					
1764.1	0.020					
1989.9	0.020					
1895.2	0.020					
569.1	0.020					
383.1	0.020					
1996.3	0.020					
1978.2	0.020					
2047.0	0.020					
2187.4	0.020					
2172.2	0.020					
2279.7	0.019					
554.7	0.019					
2157.2	0.019					
506.3	0.019					
2446.0	0.019					
2166.8	0.019					
1105.7	0.019					
277.2	0.019					
572.3	0.019					
2389.7	0.019					
712.8	0.019					
1842.8	0.019					
2098.7	0.019					
584.3	0.019					
2184.2	0.019					
1979.3	0.019					
2014.7	0.019					
2002.7	0.019					
2028.8	0.019					
628.3	0.019					
2097.7	0.019					
2211.1	0.019					
2274.2	0.019					
1783.3	0.019					
492.3	0.019					
2227.2	0.019					
321.1	0.019					
2068.7	0.019					
1948.3	0.019					
499.2	0.019					
1933.4	0.019					
2175.6	0.019					
1974.0	0.019					
211.2	0.019					
653.2	0.019					
2280.9	0.019					
2223.9	0.019					
2162.5	0.019					
2140.9	0.019					
2147.5	0.019					
627.3	0.019					
1786.4	0.019					
301.1	0.019					
405.2	0.019					
2309.4	0.019					
2042.7	0.019					
1763.1	0.019					
2363.6	0.019					
2069.7	0.019					
2102.0	0.019					
375.3	0.019					
2103.1	0.019					
1887.7	0.019					
2155.0	0.019					
561.4	0.019					
1124.5	0.019					
681.5	0.019					
2266.4	0.019					
721.5	0.019					
2001.7	0.019					
173.1	0.019					
2038.4	0.019					
2003.8	0.019					
1877.0	0.019					
318.1	0.019					
2282.0	0.019					
2186.3	0.019					
2321.4	0.019					
2153.9	0.019					
2194.0	0.019					
2016.9	0.019					
2339.6	0.019					
799.9	0.019					
2251.1	0.019					
2228.4	0.019					
377.3	0.019					
2075.1	0.019					
403.2	0.019					
2433.2	0.019					
2017.9	0.019					
2004.9	0.019					
309.2	0.019					
566.8	0.019					
337.2	0.019					
879.5	0.019					
157.1	0.019					
433.1	0.018					
2182.2	0.018					
287.1	0.018					
311.2	0.018					
763.8	0.018					
2238.0	0.018					
2420.2	0.018					
1106.7	0.018					
2200.4	0.018					
2416.1	0.018					
2275.3	0.018					
2128.9	0.018					
1932.4	0.018					
2145.2	0.018					
827.6	0.018					
2357.1	0.018					
2031.0	0.018					
346.0	0.018					
642.8	0.018					
894.0	0.018					
2365.8	0.018					
2254.4	0.018					
828.6	0.018					
2255.6	0.018					
716.3	0.018					
558.3	0.018					
2143.0	0.018					
2123.7	0.018					
2033.1	0.018					
2201.4	0.018					
2392.0	0.018					
422.2	0.018					
2240.2	0.018					
865.6	0.018					
2290.7	0.018					
2351.7	0.018					
625.2	0.018					
2212.2	0.018					
406.2	0.018					
877.3	0.018					
2340.6	0.018					
2090.4	0.018					
2131.1	0.018					
2243.5	0.018					
443.1	0.018					
2117.4	0.018					
2253.3	0.018					
2271.9	0.018					
2178.9	0.018					
2146.4	0.018					
2132.2	0.018					
2276.5	0.018					
2307.2	0.018					
2205.6	0.018					
2337.5	0.018					
2318.2	0.018					
2219.7	0.018					
2213.3	0.018					
2298.3	0.018					
2297.2	0.018					
2412.7	0.018					
466.8	0.018					
464.3	0.018					
2406.1	0.018					
2323.6	0.018					
2158.2	0.018					
2164.6	0.018					
723.6	0.018					
2284.0	0.018					
637.6	0.017					
108.0	0.017					
2161.4	0.017					
529.2	0.017					
2215.3	0.017					
2262.2	0.017					
2382.1	0.017					
2292.9	0.017					
297.3	0.017					
2217.5	0.017					
209.1	0.017					
2283.0	0.017					
2259.9	0.017					
2422.4	0.017					
851.7	0.017					
610.2	0.017					
249.1	0.017					
2348.4	0.017					
2214.3	0.017					
2195.1	0.017					
2380.9	0.017					
302.1	0.017					
2204.6	0.017					
852.8	0.017					
2163.6	0.017					
2319.2	0.017					
2501.7	0.017					
2560.4	0.017					
544.2	0.017					
2562.5	0.017					
2235.9	0.017					
2377.6	0.017					
418.0	0.017					
2299.4	0.017					
2451.3	0.017					
380.1	0.017					
2124.8	0.017					
498.2	0.017					
2327.0	0.017					
2167.9	0.017					
2261.1	0.017					
2056.8	0.017					
666.8	0.017					
2073.0	0.017					
2349.5	0.017					
2538.1	0.017					
2329.1	0.017					
2086.1	0.017					
2450.1	0.017					
2350.6	0.017					
2316.0	0.017					
2125.8	0.017					
2431.0	0.017					
2440.8	0.017					
323.1	0.017					
2463.3	0.017					
2358.3	0.017					
2335.4	0.017					
2345.1	0.017					
319.1	0.017					
2296.1	0.017					
2506.0	0.017					
2218.7	0.017					
2314.8	0.017					
2138.9	0.017					
2313.6	0.017					
2277.6	0.017					
2517.4	0.017					
2384.4	0.017					
507.3	0.017					
419.1	0.017					
2333.4	0.017					
2074.0	0.017					
2151.7	0.017					
2118.4	0.017					
614.5	0.017					
449.3	0.017					
2353.8	0.017					
2229.5	0.017					
2418.2	0.017					
292.2	0.017					
2398.4	0.017					
582.3	0.016					
2447.0	0.016					
447.3	0.016					
2490.8	0.016					
639.7	0.016					
2328.0	0.016					
2210.1	0.016					
457.2	0.016					
2237.0	0.016					
2530.5	0.016					
2344.0	0.016					
540.8	0.016					
869.8	0.016					
560.4	0.016					
611.2	0.016					
2486.4	0.016					
2054.6	0.016					
2278.6	0.016					
2198.2	0.016					
2061.1	0.016					
679.4	0.016					
656.3	0.016					
2027.7	0.016					
2428.9	0.016					
2289.7	0.016					
2197.2	0.016					
2383.2	0.016					
2301.7	0.016					
2356.0	0.016					
2454.5	0.016					
823.4	0.016					
2529.3	0.016					
2500.6	0.016					
2127.9	0.016					
737.6	0.016					
2364.8	0.016					
2378.8	0.016					
2209.0	0.016					
2578.7	0.016					
2663.5	0.016					
2522.7	0.016					
2295.1	0.016					
2442.8	0.016					
2436.4	0.016					
2400.6	0.016					
2636.0	0.016					
2419.2	0.016					
2629.3	0.016					
2485.2	0.016					
2607.3	0.016					
2241.4	0.016					
2332.3	0.016					
2646.8	0.016					
2173.3	0.016					
382.1	0.016					
2311.5	0.016					
2252.3	0.016					
813.4	0.016					
2438.6	0.016					
413.2	0.016					
2257.6	0.016					
2060.1	0.016					
2152.7	0.016					
2336.5	0.016					
2466.5	0.016					
2293.9	0.016					
2199.3	0.016					
2731.5	0.016					
484.2	0.016					
2088.2	0.016					
2267.5	0.016					
2491.9	0.016					
2366.9	0.016					
2421.4	0.016					
2889.8	0.016					
2239.2	0.016					
410.1	0.016					
2511.8	0.016					
2159.2	0.016					
2611.7	0.016					
2256.6	0.016					
2476.4	0.016					
2352.8	0.016					
2308.3	0.016					
2360.5	0.016					
2487.5	0.016					
2269.7	0.015					
2411.6	0.015					
2480.8	0.015					
2338.6	0.015					
2226.2	0.015					
2379.8	0.015					
2475.3	0.015					
2867.4	0.015					
2310.5	0.015					
2202.5	0.015					
843.4	0.015					
2448.0	0.015					
2388.6	0.015					
2777.9	0.015					
2341.8	0.015					
2403.9	0.015					
2367.9	0.015					
330.0	0.015					
2512.9	0.015					
2680.1	0.015					
2751.5	0.015					
2505.0	0.015					
2396.2	0.015					
2386.5	0.015					
2230.5	0.015					
2502.8	0.015					
2244.7	0.015					
2460.2	0.015					
2394.1	0.015					
2263.2	0.015					
2160.3	0.015					
2449.0	0.015					
459.2	0.015					
2258.8	0.015					
273.1	0.015					
2425.8	0.015					
2432.1	0.015					
2409.5	0.015					
2434.2	0.015					
2216.5	0.015					
2247.8	0.015					
2245.8	0.015					
601.4	0.015					
2575.4	0.015					
2203.5	0.015					
2144.1	0.015					
641.8	0.015					
2426.8	0.015					
2407.3	0.015					
2437.5	0.015					
701.6	0.015					
2467.7	0.015					
2347.3	0.015					
2488.7	0.015					
2410.5	0.015					
2287.4	0.015					
487.3	0.015					
543.1	0.015					
2324.7	0.015					
2468.7	0.015					
2424.6	0.015					
2558.2	0.015					
2465.5	0.015					
2477.5	0.015					
2459.1	0.015					
505.3	0.015					
2300.6	0.015					
435.2	0.015					
2673.3	0.015					
2516.3	0.015					
770.3	0.015					
2370.1	0.015					
2474.2	0.015					
2435.3	0.015					
2439.7	0.015					
2461.3	0.015					
683.6	0.015					
2479.6	0.015					
2630.4	0.015					
2288.5	0.015					
2361.5	0.015					
2302.8	0.015					
2393.0	0.015					
2402.8	0.015					
2464.4	0.015					
2331.2	0.015					
2617.1	0.015					
2372.2	0.015					
471.3	0.014					
2478.6	0.014					
2574.2	0.014					
2387.6	0.014					
2507.2	0.014					
2116.1	0.014					
528.1	0.014					
2414.9	0.014					
2565.7	0.014					
2660.2	0.014					
2395.2	0.014					
516.2	0.014					
2413.9	0.014					
2518.4	0.014					
2554.9	0.014					
2423.6	0.014					
2369.0	0.014					
2325.9	0.014					
2399.5	0.014					
2545.9	0.014					
2346.3	0.014					
235.9	0.014					
654.3	0.014					
2631.6	0.014					
2441.8	0.014					
472.8	0.014					
2577.7	0.014					
2273.1	0.014					
2563.5	0.014					
598.2	0.014					
2532.6	0.014					
2564.6	0.014					
2427.9	0.014					
2473.1	0.014					
896.1	0.014					
526.7	0.014					
2430.0	0.014					
2515.2	0.014					
2508.3	0.014					
2566.7	0.014					
2453.5	0.014					
2455.7	0.014					
514.7	0.014					
2462.3	0.014					
2509.5	0.014					
2586.3	0.014					
2813.8	0.014					
2371.2	0.014					
655.3	0.014					
2588.6	0.014					
2552.8	0.014					
2342.8	0.014					
2444.9	0.014					
519.3	0.014					
2481.8	0.014					
2535.9	0.014					
2408.4	0.014					
2662.5	0.014					
669.4	0.014					
2602.9	0.014					
2541.7	0.014					
2539.3	0.014					
2520.6	0.014					
2568.8	0.014					
2493.0	0.014					
2621.5	0.014					
2732.6	0.014					
2523.9	0.014					
2537.0	0.014					
2489.7	0.014					
2567.8	0.014					
2553.8	0.014					
2385.4	0.014					
2373.2	0.014					
2632.8	0.014					
2689.9	0.014					
2688.8	0.014					
2600.7	0.014					
2814.9	0.014					
2443.9	0.014					
2548.1	0.014					
331.1	0.014					
2580.8	0.014					
2609.5	0.014					
2401.6	0.014					
2557.2	0.014					
2355.0	0.014					
2774.5	0.014					
2638.1	0.014					
2510.7	0.014					
2721.4	0.014					
624.2	0.014					
2597.4	0.014					
2540.5	0.014					
2620.4	0.014					
2650.2	0.014					
2745.9	0.014					
2472.0	0.014					
2497.2	0.014					
2608.5	0.014					
2556.1	0.014					
2625.9	0.014					
2643.4	0.014					
2587.4	0.014					
2569.9	0.014					
2457.9	0.014					
2471.0	0.014					
2584.2	0.014					
695.4	0.014					
2581.9	0.014					
2572.2	0.014					
2928.6	0.014					
307.1	0.014					
2627.0	0.014					
2705.4	0.014					
2559.4	0.014					
613.4	0.014					
2499.4	0.014					
2614.9	0.014					
2591.8	0.014					
2524.9	0.014					
2544.8	0.014					
2604.0	0.014					
2980.1	0.014					
2599.6	0.014					
2773.4	0.014					
453.2	0.014					
2561.5	0.014					
2903.9	0.014					
2692.0	0.014					
2675.5	0.014					
2887.4	0.014					
2844.8	0.014					
2622.6	0.014					
2484.0	0.014					
2794.8	0.014					
2362.6	0.014					
2605.1	0.014					
2526.0	0.014					
2828.1	0.014					
2596.3	0.014					
2531.6	0.014					
3114.3	0.013					
2710.6	0.013					
512.3	0.013					
2757.0	0.013					
2695.3	0.013					
2482.9	0.013					
2722.6	0.013					
2693.1	0.013					
2665.6	0.013					
2729.1	0.013					
2637.1	0.013					
2606.2	0.013					
2679.0	0.013					
2543.7	0.013					
2681.1	0.013					
3010.2	0.013					
2859.5	0.013					
171.1	0.013					
2598.5	0.013					
3001.3	0.013					
2747.1	0.013					
2456.9	0.013					
2999.1	0.013					
2858.3	0.013					
2405.1	0.013					
2949.7	0.013					
2916.2	0.013					
2528.3	0.013					
2549.2	0.013					
3073.6	0.013					
2831.6	0.013					
2803.9	0.013					
2641.3	0.013					
2585.2	0.013					
2730.3	0.013					
2658.0	0.013					
2787.9	0.013					
2776.8	0.013					
3094.9	0.013					
2551.6	0.013					
2640.2	0.013					
2592.9	0.013					
363.3	0.013					
2915.0	0.013					
2802.7	0.013					
2521.7	0.013					
2758.0	0.013					
2829.2	0.013					
2700.9	0.013					
2842.6	0.013					
2668.9	0.013					
3044.9	0.013					
2761.3	0.013					
2772.1	0.013					
2717.2	0.013					
2923.1	0.013					
349.1	0.013					
2594.0	0.013					
2739.4	0.013					
2934.2	0.013					
2877.6	0.013					
2865.2	0.013					
501.3	0.013					
2684.4	0.013					
2686.7	0.013					
2782.5	0.013					
2724.7	0.013					
2781.3	0.013					
2639.1	0.013					
2760.2	0.013					
2514.1	0.013					
2869.7	0.013					
2322.6	0.013					
2716.1	0.013					
2704.4	0.013					
2583.1	0.013					
2800.3	0.013					
2982.4	0.013					
2958.9	0.013					
2798.1	0.013					
2791.2	0.013					
2977.9	0.013					
2733.7	0.013					
2841.6	0.013					
2849.3	0.013					
2737.1	0.013					
2727.0	0.013					
2792.4	0.013					
2667.8	0.013					
2821.6	0.013					
315.3	0.013					
2628.0	0.013					
2527.2	0.013					
2861.8	0.013					
2907.2	0.013					
2925.3	0.013					
2725.8	0.013					
2809.4	0.013					
2655.8	0.013					
2974.3	0.013					
2738.1	0.013					
510.2	0.013					
293.2	0.013					
479.3	0.013					
559.4	0.013					
2862.9	0.013					
665.7	0.013					
2784.7	0.013					
525.3	0.013					
2504.0	0.013					
289.1	0.013					
468.2	0.013					
2771.0	0.013					
2231.6	0.013					
597.2	0.013					
2547.0	0.013					
455.2	0.013					
2286.4	0.013					
2312.6	0.012					
483.2	0.012					
2359.4	0.012					
2397.4	0.012					
2576.6	0.012					
557.3	0.012					
367.1	0.012					
486.2	0.012					
491.3	0.012					
2534.9	0.012					
2496.2	0.012					
2494.1	0.012					
2469.9	0.012					
2589.7	0.012					
2674.5	0.012					
2573.2	0.012					
2498.4	0.012					
2452.4	0.012					
2619.3	0.012					
2647.9	0.012					
2651.4	0.012					
2672.2	0.012					
571.3	0.012					
2601.8	0.012					
2743.8	0.012					
3090.3	0.012					
2744.8	0.012					
2519.5	0.012					
303.1	0.012					
867.7	0.012					
2618.3	0.012					
2664.5	0.012					
2633.9	0.012					
2750.5	0.012					
2659.1	0.012					
3187.8	0.012					
2918.6	0.012					
3091.5	0.012					
3174.9	0.012					
3159.0	0.012					
2676.6	0.011					
2624.8	0.011					
2542.7	0.011					
3152.2	0.011					
2330.2	0.011					
2533.8	0.011					
3113.1	0.011					
2845.9	0.011					
2712.9	0.011					
3140.8	0.011					
3041.5	0.011					
3136.4	0.011					
2762.4	0.011					
2687.7	0.011					
2652.5	0.011					
3049.6	0.011					
2690.9	0.011					
2834.9	0.011					
2656.8	0.011					
2590.7	0.011					
2807.2	0.011					
2634.9	0.011					
3110.7	0.011					
3142.0	0.011					
2623.8	0.011					
2642.4	0.011					
2645.8	0.011					
2847.1	0.011					
2702.1	0.011					
2900.5	0.011					
2734.9	0.011					
3042.6	0.011					
3189.9	0.011					
3161.4	0.011					
3116.8	0.011					
3056.2	0.011					
2571.2	0.011					
3164.7	0.011					
2595.1	0.011					
3083.6	0.011					
2550.4	0.011					
3186.6	0.011					
3092.6	0.011					
2685.6	0.011					
3144.3	0.011					
3151.0	0.011					
2779.1	0.011					
2909.6	0.011					
545.3	0.011					
2785.8	0.011					
2948.6	0.011					
2764.6	0.011					
3173.6	0.011					
3002.4	0.011					
2926.4	0.011					
2930.9	0.011					
2661.3	0.011					
2922.0	0.011					
2783.7	0.011					
2653.5	0.011					
3115.6	0.011					
2874.3	0.011					
3180.9	0.011					
2709.6	0.011					
3096.1	0.011					
3100.9	0.011					
3127.1	0.011					
263.2	0.011					
2872.0	0.011					
2981.2	0.011					
2579.8	0.011					
2644.5	0.011					
2677.8	0.011					
2752.7	0.011					
3184.2	0.011					
2789.1	0.011					
421.2	0.011					
3179.8	0.011					
2929.8	0.011					
3111.9	0.011					
3105.2	0.011					
2801.6	0.011					
3153.4	0.011					
3124.9	0.011					
2994.8	0.011					
2953.2	0.011					
2901.6	0.011					
3170.4	0.011					
2984.6	0.011					
2703.2	0.011					
2910.7	0.011					
3030.0	0.011					
2728.1	0.011					
3134.0	0.011					
3064.5	0.011					
2699.7	0.011					
3132.8	0.011					
2613.8	0.011					
2991.3	0.011					
3031.2	0.011					
2993.5	0.011					
2723.7	0.011					
2960.1	0.011					
3063.4	0.011					
3016.8	0.011					
2755.9	0.011					
2649.0	0.011					
3087.0	0.011					
2836.0	0.011					
3048.4	0.011					
2906.0	0.011					
3118.8	0.011					
3014.5	0.011					
2896.3	0.011					
3032.4	0.011					
2927.5	0.011					
2714.0	0.011					
2715.0	0.011					
3119.9	0.011					
2706.5	0.011					
3097.4	0.011					
3071.2	0.011					
3023.6	0.011					
2976.7	0.011					
2873.2	0.011					
3004.6	0.011					
2881.9	0.011					
2848.2	0.011					
2843.7	0.011					
3067.7	0.011					
3022.4	0.011					
2736.0	0.011					
2885.1	0.011					
3025.8	0.011					
2837.2	0.011					
3000.2	0.011					
3060.1	0.011					
2839.4	0.011					
2940.6	0.011					
2786.9	0.011					
2770.0	0.011					
3099.7	0.011					
2905.0	0.011					
2894.2	0.011					
3046.1	0.011					
3035.9	0.011					
2742.7	0.011					
3088.1	0.011					
2856.1	0.011					
2952.0	0.011					
463.3	0.011					
3020.3	0.011					
2888.5	0.011					
2943.0	0.011					
2975.6	0.011					
2860.7	0.011					
2941.8	0.011					
2740.4	0.011					
3040.4	0.011					
2912.8	0.011					
2962.3	0.011					
2806.2	0.011					
3079.3	0.011					
2775.7	0.011					
2964.5	0.011					
2711.7	0.011					
3149.8	0.011					
3089.1	0.011					
3074.7	0.011					
2851.5	0.011					
2875.5	0.011					
2870.9	0.011					
2902.8	0.011					
3039.3	0.011					
2919.8	0.011					
2768.9	0.011					
2795.8	0.011					
2612.8	0.011					
3019.2	0.011					
2763.4	0.011					
2933.1	0.011					
2850.5	0.011					
2852.6	0.011					
461.3	0.011					
3106.3	0.011					
2917.3	0.011					
2694.3	0.011					
2759.2	0.011					
2938.6	0.011					
2864.0	0.011					
2990.1	0.011					
2882.9	0.011					
2924.3	0.011					
3101.9	0.011					
3062.3	0.011					
2947.4	0.011					
2610.7	0.011					
2987.9	0.011					
2765.7	0.011					
2979.1	0.011					
3012.4	0.011					
2790.1	0.011					
2670.1	0.011					
2879.7	0.011					
2956.5	0.011					
3098.5	0.011					
2853.9	0.011					
2767.8	0.011					
3034.9	0.011					
3011.2	0.011					
3024.7	0.011					
2820.5	0.011					
2833.8	0.011					
2884.0	0.011					
3017.9	0.011					
2876.5	0.011					
2832.7	0.011					
3077.0	0.011					
2857.2	0.011					
3033.6	0.011					
2957.7	0.011					
2986.7	0.011					
2946.3	0.011					
2707.6	0.011					
2955.5	0.011					
2799.2	0.011					
2866.2	0.011					
3038.1	0.011					
2954.4	0.011					
2749.4	0.011					
2973.2	0.011					
2718.3	0.011					
2753.8	0.011					
2855.1	0.011					
2996.8	0.011					
2972.1	0.011					
3053.9	0.011					
2920.9	0.011					
2878.6	0.011					
2654.7	0.011					
2616.0	0.011					
2823.7	0.011					
2682.3	0.011					
2868.6	0.011					
2963.3	0.011					
2818.3	0.011					
2698.5	0.011					
361.1	0.011					
3199.1	0.011					
2666.7	0.011					
2944.2	0.011					
2945.3	0.011					
2671.1	0.011					
2824.8	0.011					
480.7	0.011					
2880.8	0.011					
2961.2	0.011					
2966.7	0.011					
2911.7	0.011					
2808.3	0.011					
2840.5	0.011					
2748.2	0.011					
3006.8	0.011					
2696.5	0.011					
2822.7	0.011					
2932.0	0.011					
3005.7	0.011					
2810.6	0.011					
2811.6	0.011					
2741.6	0.011					
2995.8	0.011					
2797.0	0.011					
2913.9	0.011					
2908.5	0.011					
2812.7	0.011					
2805.1	0.011					
568.1	0.011					
2899.4	0.011					
570.2	0.011					
2720.4	0.011					
2754.8	0.011					
2935.4	0.011					
2719.4	0.011					
2819.4	0.011					
2683.4	0.011					
2766.8	0.011					
2697.5	0.011					
2793.7	0.011					
2838.4	0.011					
2780.2	0.011					
454.2	0.011					
2827.0	0.011					
423.2	0.011					
530.3	0.010					
427.3	0.010					
599.3	0.010					
697.5	0.010					
696.4	0.010					
546.3	0.010					
511.3	0.010					
2495.2	0.010					
482.2	0.009					
585.5	0.009					
3188.9	0.009					
485.2	0.009					
3093.8	0.009					
3176.1	0.009					
3129.5	0.009					
3194.6	0.009					
3143.2	0.009					
3172.6	0.009					
3195.7	0.009					
3146.5	0.009					
3147.8	0.009					
3126.0	0.009					
573.3	0.009					
2892.1	0.009					
3047.4	0.009					
3165.8	0.009					
531.3	0.009					
3109.7	0.009					
3160.2	0.009					
3157.9	0.009					
3196.8	0.009					
3076.0	0.009					
3139.6	0.009					
3185.6	0.009					
3162.6	0.009					
3122.4	0.009					
3072.4	0.009					
3128.5	0.009					
3121.2	0.009					
2983.5	0.009					
3168.3	0.009					
3130.7	0.009					
3123.8	0.009					
3193.5	0.009					
3155.9	0.009					
3055.1	0.009					
3156.9	0.009					
3192.3	0.009					
3050.6	0.009					
2898.4	0.009					
3183.2	0.009					
3169.4	0.009					
3148.8	0.009					
3066.6	0.009					
3145.5	0.009					
3154.7	0.009					
3081.5	0.009					
3137.5	0.009					
3163.7	0.009					
2890.9	0.009					
3028.9	0.009					
3070.0	0.009					
3177.2	0.009					
2989.0	0.009					
3178.4	0.009					
3080.4	0.009					
3117.8	0.009					
3026.8	0.009					
3167.0	0.009					
2992.4	0.009					
2998.0	0.009					
3058.9	0.009					
3043.7	0.009					
3082.5	0.009					
3021.4	0.009					
553.5	0.009					
3051.7	0.009					
3104.1	0.009					
3027.9	0.009					
3086.0	0.009					
2969.9	0.009					
2895.3	0.009					
2816.2	0.009					
3084.9	0.009					
3103.1	0.009					
3078.2	0.009					
3057.5	0.009					
2817.3	0.009					
2936.5	0.009					
3138.5	0.009					
469.2	0.009					
3108.7	0.009					
3003.5	0.009					
3037.1	0.009					
2893.2	0.009					
3107.5	0.009					
3065.6	0.009					
2968.8	0.009					
2970.9	0.009					
3013.4	0.009					
3061.1	0.009					
3068.8	0.009					
3008.0	0.009					
2951.0	0.009					
3052.7	0.009					
2708.6	0.009					
2897.4	0.009					
2939.6	0.009					
389.2	0.009					
2826.0	0.009					
2886.3	0.009					
2965.6	0.009					
3015.7	0.009					
2937.6	0.009					
2830.3	0.009					
2967.8	0.009					
2985.7	0.009					
3009.2	0.009					
407.3	0.008					
456.2	0.008					
583.3	0.008					
465.3	0.008					
493.3	0.007					
425.2	0.007					
291.2	0.007					
275.1	0.007					
477.3	0.007					
3191.2	0.007					
3171.5	0.007					
3182.1	0.007					
3131.8	0.007					
3135.2	0.007					
513.4	0.004					
393.3	0.004					
