BCW_ID,Ratio (15N/14N),,
BCW_200855,1.1,1.1,BCW_200855
BCW_201304,1.1,1.1,BCW_201304
BCW_200281,1.1,1.1,BCW_200281
BCW_200574,1.1,1.1,BCW_200574
BCW_200458,1.1,1.1,BCW_200458
BCW_200903,1.1,1.1,BCW_200903
BCW_200650,1.1,1.1,BCW_200650
BCW_200553,1.1,1.1,BCW_200553
BCW_201854,1.1,1.1,BCW_201854
BCW_201841,1.1,1.1,BCW_201841
BCW_200886,1.1,1.1,BCW_200886
BCW_201975,1.1,1.1,BCW_201975
BCW_200588,1.1,1.1,BCW_200588
BCW_200312,1.1,1.1,BCW_200312
BCW_200806,1.1,1.1,BCW_200806
BCW_201257,1.1,1.1,BCW_201257
BCW_200880,1.1,1.1,BCW_200880
BCW_200952,1.1,1.1,BCW_200952
BCW_201450,1.0,1.0,BCW_201450
BCW_200436,1.0,1.0,BCW_200436
BCW_201445,1.0,1.0,BCW_201445
BCW_201168,1.0,1.0,BCW_201168
BCW_201010,1.0,1.0,BCW_201010
BCW_200557,1.0,1.0,BCW_200557
BCW_200545,1.0,1.0,BCW_200545
BCW_201254,1.0,1.0,BCW_201254
BCW_200647,1.0,1.0,BCW_200647
BCW_200544,1.0,1.0,BCW_200544
BCW_200915,1.0,1.0,BCW_200915
BCW_201903,1.0,1.0,BCW_201903
BCW_201141,1.0,1.0,BCW_201141
BCW_200798,1.0,1.0,BCW_200798
BCW_201444,1.0,1.0,BCW_201444
BCW_201614,1.0,1.0,BCW_201614
BCW_200716,1.0,1.0,BCW_200716
BCW_201828,1.0,1.0,BCW_201828
BCW_200978,1.0,1.0,BCW_200978
BCW_201013,1.0,1.0,BCW_201013
BCW_200887,1.0,1.0,BCW_200887
BCW_201649,1.0,1.0,BCW_201649
BCW_201982,1.0,1.0,BCW_201982
BCW_201949,1.0,1.0,BCW_201949
BCW_201937,1.0,1.0,BCW_201937
BCW_201081,1.0,1.0,BCW_201081
BCW_201890,1.0,1.0,BCW_201890
BCW_201721,1.0,1.0,BCW_201721
BCW_200438,1.0,1.0,BCW_200438
BCW_201914,1.0,1.0,BCW_201914
BCW_201115,1.0,1.0,BCW_201115
BCW_201639,1.0,1.0,BCW_201639
BCW_200649,1.0,1.0,BCW_200649
BCW_200476,1.0,1.0,BCW_200476
BCW_201615,1.0,1.0,BCW_201615
BCW_200909,1.0,1.0,BCW_200909
BCW_201307,1.0,1.0,BCW_201307
BCW_201350,1.0,1.0,BCW_201350
BCW_200538,1.0,1.0,BCW_200538
BCW_201267,1.0,1.0,BCW_201267
BCW_200988,1.0,1.0,BCW_200988
BCW_200499,1.0,1.0,BCW_200499
BCW_200440,1.0,1.0,BCW_200440
BCW_200879,1.0,1.0,BCW_200879
BCW_200984,1.0,1.0,BCW_200984
BCW_200641,1.0,1.0,BCW_200641
BCW_200311,1.0,1.0,BCW_200311
BCW_200327,1.0,1.0,BCW_200327
BCW_200791,1.0,1.0,BCW_200791
BCW_200775,1.0,1.0,BCW_200775
BCW_201648,1.0,1.0,BCW_201648
BCW_200442,1.0,1.0,BCW_200442
BCW_200559,1.0,1.0,BCW_200559
BCW_200308,1.0,1.0,BCW_200308
BCW_200593,1.0,1.0,BCW_200593
BCW_200989,1.0,1.0,BCW_200989
BCW_202001,1.0,1.0,BCW_202001
BCW_200464,1.0,1.0,BCW_200464
BCW_200820,1.0,1.0,BCW_200820
BCW_200514,1.0,1.0,BCW_200514
BCW_200278,1.0,1.0,BCW_200278
BCW_200663,1.0,1.0,BCW_200663
BCW_200787,1.0,1.0,BCW_200787
BCW_200271,1.0,1.0,BCW_200271
BCW_201291,1.0,1.0,BCW_201291
BCW_200814,1.0,1.0,BCW_200814
BCW_201082,1.0,1.0,BCW_201082
BCW_200564,1.0,1.0,BCW_200564
BCW_201186,1.0,1.0,BCW_201186
BCW_201075,1.0,1.0,BCW_201075
BCW_200818,1.0,1.0,BCW_200818
BCW_202005,1.0,1.0,BCW_202005
BCW_201059,1.0,1.0,BCW_201059
BCW_201021,1.0,1.0,BCW_201021
BCW_200819,1.0,1.0,BCW_200819
BCW_200945,1.0,1.0,BCW_200945
BCW_200268,1.0,1.0,BCW_200268
BCW_201044,1.0,1.0,BCW_201044
BCW_201258,1.0,1.0,BCW_201258
BCW_200272,1.0,1.0,BCW_200272
BCW_201007,1.0,1.0,BCW_201007
BCW_200589,1.0,1.0,BCW_200589
BCW_201461,1.0,1.0,BCW_201461
BCW_201024,1.0,1.0,BCW_201024
BCW_201071,1.0,1.0,BCW_201071
BCW_201842,1.0,1.0,BCW_201842
BCW_201238,1.0,1.0,BCW_201238
BCW_201154,1.0,1.0,BCW_201154
BCW_201928,1.0,1.0,BCW_201928
BCW_201911,1.0,1.0,BCW_201911
BCW_200994,1.0,1.0,BCW_200994
BCW_200717,1.0,1.0,BCW_200717
BCW_201995,1.0,1.0,BCW_201995
BCW_200735,1.0,1.0,BCW_200735
BCW_200738,1.0,1.0,BCW_200738
BCW_200527,1.0,1.0,BCW_200527
BCW_201822,1.0,1.0,BCW_201822
BCW_200993,1.0,1.0,BCW_200993
BCW_201947,1.0,1.0,BCW_201947
BCW_200508,1.0,1.0,BCW_200508
BCW_200651,1.0,1.0,BCW_200651
BCW_200276,1.0,1.0,BCW_200276
BCW_200587,1.0,1.0,BCW_200587
BCW_201811,1.0,1.0,BCW_201811
BCW_201103,1.0,1.0,BCW_201103
BCW_201036,1.0,1.0,BCW_201036
BCW_200521,1.0,1.0,BCW_200521
BCW_201070,1.0,1.0,BCW_201070
BCW_201441,1.0,1.0,BCW_201441
BCW_200660,1.0,1.0,BCW_200660
BCW_200497,1.0,1.0,BCW_200497
BCW_200704,1.0,1.0,BCW_200704
BCW_200465,1.0,1.0,BCW_200465
BCW_201248,1.0,1.0,BCW_201248
BCW_201088,1.0,1.0,BCW_201088
BCW_201662,1.0,1.0,BCW_201662
BCW_201078,1.0,1.0,BCW_201078
BCW_200931,1.0,1.0,BCW_200931
BCW_200746,1.0,1.0,BCW_200746
BCW_201443,1.0,1.0,BCW_201443
BCW_200528,1.0,1.0,BCW_200528
BCW_200667,1.0,1.0,BCW_200667
BCW_201020,1.0,1.0,BCW_201020
BCW_201857,1.0,1.0,BCW_201857
BCW_201139,1.0,1.0,BCW_201139
BCW_201293,1.0,1.0,BCW_201293
BCW_201155,1.0,1.0,BCW_201155
BCW_201051,1.0,1.0,BCW_201051
BCW_200944,1.0,1.0,BCW_200944
BCW_200526,1.0,1.0,BCW_200526
BCW_200302,1.0,1.0,BCW_200302
BCW_200874,1.0,1.0,BCW_200874
BCW_200790,1.0,1.0,BCW_200790
BCW_201653,1.0,1.0,BCW_201653
BCW_200319,1.0,1.0,BCW_200319
BCW_200892,1.0,1.0,BCW_200892
BCW_200624,1.0,1.0,BCW_200624
BCW_200432,1.0,1.0,BCW_200432
BCW_201091,1.0,1.0,BCW_201091
BCW_200437,1.0,1.0,BCW_200437
BCW_200910,1.0,1.0,BCW_200910
BCW_200509,1.0,1.0,BCW_200509
BCW_200535,1.0,1.0,BCW_200535
BCW_201054,1.0,1.0,BCW_201054
BCW_201997,1.0,1.0,BCW_201997
BCW_201620,1.0,1.0,BCW_201620
BCW_200315,1.0,1.0,BCW_200315
BCW_200644,1.0,1.0,BCW_200644
BCW_201654,1.0,1.0,BCW_201654
BCW_201297,1.0,1.0,BCW_201297
BCW_200973,1.0,1.0,BCW_200973
BCW_200317,1.0,1.0,BCW_200317
BCW_201453,1.0,1.0,BCW_201453
BCW_202006,1.0,1.0,BCW_202006
BCW_200785,1.0,1.0,BCW_200785
BCW_200891,1.0,1.0,BCW_200891
BCW_201292,1.0,1.0,BCW_201292
BCW_200577,1.0,1.0,BCW_200577
BCW_201058,1.0,1.0,BCW_201058
BCW_201028,1.0,1.0,BCW_201028
BCW_200267,1.0,1.0,BCW_200267
BCW_201308,1.0,1.0,BCW_201308
BCW_200950,1.0,1.0,BCW_200950
BCW_200646,1.0,1.0,BCW_200646
BCW_200990,1.0,1.0,BCW_200990
BCW_200269,1.0,1.0,BCW_200269
BCW_201107,1.0,1.0,BCW_201107
BCW_201222,1.0,1.0,BCW_201222
BCW_200568,1.0,1.0,BCW_200568
BCW_200294,1.0,1.0,BCW_200294
BCW_201919,1.0,1.0,BCW_201919
BCW_200309,1.0,,
BCW_200807,1.0,,
BCW_200448,1.0,,
BCW_200733,1.0,,
BCW_201837,1.0,,
BCW_200299,1.0,,
BCW_200941,1.0,,
BCW_201052,1.0,,
BCW_201270,1.0,,
BCW_200280,0.9,,
BCW_200569,0.9,,
BCW_200981,0.9,,
BCW_201038,0.9,,
BCW_200918,0.9,,
BCW_201268,0.9,,
BCW_200977,0.9,,
BCW_201301,0.9,,
BCW_200731,0.9,,
BCW_201934,0.9,,
BCW_201927,0.9,,
BCW_200897,0.9,,
BCW_201893,0.9,,
BCW_201050,0.9,,
BCW_201898,0.9,,
BCW_200789,0.9,,
BCW_202007,0.9,,
BCW_201243,0.9,,
BCW_201265,0.9,,
BCW_201104,0.9,,
BCW_200816,0.9,,
BCW_201275,0.9,,
BCW_200548,0.9,,
BCW_201269,0.9,,
BCW_200573,0.9,,
BCW_200313,0.9,,
BCW_201131,0.9,,
BCW_201255,0.9,,
BCW_201652,0.9,,
BCW_201017,0.9,,
BCW_200985,0.9,,
BCW_201266,0.9,,
BCW_200262,0.9,,
BCW_201846,0.9,,
BCW_200935,0.9,,
BCW_200992,0.9,,
BCW_200604,0.9,,
BCW_200603,0.9,,
BCW_200917,0.9,,
BCW_201310,0.9,,
BCW_200263,0.9,,
BCW_200626,0.9,,
?,0.9,,
BCW_201123,0.9,,
BCW_201006,0.9,,
BCW_201462,0.9,,
BCW_200890,0.9,,
BCW_201311,0.9,,
BCW_201313,0.9,,
BCW_200922,0.9,,
BCW_201049,0.9,,
BCW_200974,0.9,,
BCW_200572,0.9,,
BCW_201037,0.9,,
BCW_201273,0.9,,
BCW_201080,0.9,,
BCW_200522,0.9,,
BCW_200579,0.9,,
BCW_201974,0.9,,
BCW_200894,0.9,,
BCW_200291,0.9,,
BCW_201242,0.9,,
BCW_201465,0.9,,
BCW_201272,0.9,,
BCW_200558,0.9,,
empty,0.9,,
BCW_200666,0.9,,
BCW_201651,0.9,,
BCW_201362,0.9,,
BCW_201512,0.9,,
BCW_200873,0.9,,
BCW_200305,0.9,,
BCW_200925,0.9,,
BCW_200560,0.9,,
?,0.9,,
BCW_200282,0.9,,
BCW_200594,0.9,,
BCW_201978,0.9,,
BCW_200730,0.9,,
BCW_201348,0.9,,
BCW_200927,0.9,,
BCW_200616,0.9,,
BCW_201276,0.9,,
BCW_200911,0.9,,
BCW_201074,0.9,,
BCW_201843,0.9,,
BCW_200694,0.9,,
BCW_200786,0.9,,
BCW_201072,0.9,,
BCW_200653,0.9,,
BCW_200919,0.9,,
BCW_201087,0.9,,
BCW_200513,0.9,,
BCW_200506,0.9,,
BCW_200609,0.9,,
BCW_200591,0.9,,
BCW_200453,0.9,,
BCW_200982,0.9,,
BCW_200940,0.9,,
BCW_200802,0.9,,
empty,0.9,,
BCW_200303,0.9,,
BCW_201294,0.9,,
BCW_200850,0.9,,
?,0.9,,
BCW_201713,0.9,,
BCW_201305,0.9,,
BCW_200643,0.9,,
BCW_201638,0.9,,
BCW_201057,0.9,,
BCW_201035,0.9,,
BCW_200501,0.9,,
BCW_201855,0.9,,
BCW_201455,0.9,,
BCW_201633,0.9,,
BCW_201442,0.9,,
BCW_201908,0.9,,
BCW_200584,0.9,,
BCW_200948,0.9,,
BCW_201314,0.9,,
BCW_201011,0.9,,
BCW_201256,0.9,,
BCW_200639,0.9,,
BCW_200638,0.9,,
BCW_200318,0.9,,
BCW_200524,0.9,,
BCW_200484,0.9,,
?,0.9,,
BCW_200590,0.9,,
BCW_200734,0.9,,
BCW_200455,0.9,,
empty,0.9,,
BCW_201944,0.9,,
BCW_201077,0.9,,
BCW_200942,0.9,,
BCW_200628,0.9,,
BCW_200554,0.9,,
BCW_201690,0.9,,
BCW_200773,0.9,,
BCW_200601,0.9,,
BCW_201457,0.9,,
BCW_201979,0.9,,
BCW_200563,0.9,,
BCW_200732,0.9,,
BCW_200709,0.9,,
BCW_201636,0.9,,
empty,0.9,,
BCW_201466,0.9,,
BCW_200493,0.9,,
Az bof,0.9,,
BCW_200934,0.9,,
BCW_200485,0.9,,
BCW_201460,0.9,,
BCW_200503,0.9,,
BCW_200324,0.9,,
BCW_201298,0.9,,
?,0.9,,
BCW_200614,0.9,,
BCW_200583,0.9,,
BCW_201948,0.9,,
BCW_201296,0.9,,
BCW_201960,0.9,,
BCW_200932,0.9,,
BCW_200292,0.9,,
BCW_200908,0.9,,
BCW_200658,0.9,,
BCW_200562,0.9,,
BCW_200937,0.9,,
BCW_201055,0.9,,
BCW_200845,0.9,,
BCW_201513,0.9,,
BCW_201114,0.9,,
BCW_201612,0.9,,
BCW_200907,0.9,,
BCW_201264,0.9,,
BCW_201973,0.9,,
BCW_200745,0.9,,
?,0.9,,
BCW_201452,0.9,,
BCW_200450,0.9,,
empty,0.9,,
BCW_200980,0.9,,
BCW_201375,0.9,,
BCW_200889,0.9,,
BCW_200452,0.9,,
?,0.9,,
BCW_201637,0.9,,
BCW_201165,0.9,,
BCW_200671,0.9,,
BCW_201376,0.9,,
BCW_200467,0.9,,
BCW_200895,0.9,,
BCW_200905,0.9,,
BCW_200893,0.9,,
BCW_201869,0.9,,
BCW_200929,0.9,,
empty,0.9,,
BCW_201105,0.9,,
BCW_200575,0.9,,
BCW_201215,0.9,,
BCW_201623,0.9,,
BCW_201932,0.9,,
BCW_201361,0.9,,
BCW_200534,0.9,,
BCW_200549,0.9,,
BCW_201110,0.9,,
BCW_202008,0.9,,
BCW_201632,0.9,,
BCW_200595,0.9,,
empty,0.9,,
BCW_200523,0.9,,
BCW_200916,0.9,,
?,0.9,,
BCW_200923,0.9,,
BCW_200316,0.9,,
BCW_201962,0.9,,
BCW_202002,0.9,,
BCW_200265,0.9,,
BCW_200687,0.9,,
BCW_201617,0.9,,
BCW_200630,0.9,,
BCW_200576,0.9,,
BCW_200605,0.9,,
BCW_201679,0.9,,
BCW_201076,0.9,,
BCW_201312,0.9,,
BCW_201656,0.9,,
BCW_201514,0.9,,
BCW_200451,0.9,,
BCW_200924,0.9,,
BCW_200304,0.9,,
?,0.9,,
BCW_200954,0.9,,
empty,0.9,,
BCW_201459,0.9,,
BCW_200245,0.9,,
BCW_201053,0.9,,
empty,0.9,,
BCW_200540,0.9,,
BCW_201956,0.9,,
empty,0.9,,
BCW_201026,0.9,,
?,0.9,,
BCW_201033,0.9,,
BCW_201118,0.9,,
BCW_201655,0.9,,
BCW_201720,0.9,,
BCW_200799,0.9,,
BCW_200323,0.9,,
empty,0.9,,
BCW_200782,0.9,,
BCW_200635,0.9,,
BCW_200295,0.9,,
BCW_200670,0.9,,
BCW_200675,0.9,,
BCW_200936,0.9,,
BCW_200321,0.9,,
BCW_201988,0.9,,
BCW_200481,0.9,,
BCW_201129,0.9,,
BCW_201300,0.9,,
BCW_200469,0.9,,
BCW_201723,0.9,,
BCW_200729,0.9,,
BCW_201299,0.9,,
BCW_200254,0.9,,
BCW_200606,0.9,,
BCW_200672,0.9,,
BCW_200747,0.9,,
BCW_201515,0.9,,
BCW_201640,0.9,,
?,0.9,,
empty,0.9,,
BCW_200248,0.9,,
BCW_201047,0.9,,
BCW_201140,0.9,,
empty,0.8,,
BCW_200953,0.8,,
BCW_200530,0.8,,
BCW_201929,0.8,,
BCW_200511,0.8,,
BCW_200264,0.8,,
empty,0.8,,
BCW_200788,0.8,,
BCW_200976,0.8,,
BCW_200921,0.8,,
BCW_200645,0.8,,
BCW_201951,0.8,,
empty,0.8,,
BCW_200875,0.8,,
BCW_200619,0.8,,
empty,0.8,,
BCW_201280,0.8,,
BCW_201467,0.8,,
BCW_201961,0.8,,
BCW_200331,0.8,,
BCW_201108,0.8,,
BCW_200550,0.8,,
BCW_200277,0.8,,
BCW_200310,0.8,,
BCW_201012,0.8,,
BCW_200301,0.8,,
BCW_200896,0.8,,
BCW_201116,0.8,,
BCW_200325,0.8,,
?,0.8,,
BCW_200853,0.8,,
BCW_201943,0.8,,
BCW_201034,0.8,,
BCW_200774,0.8,,
BCW_200657,0.8,,
BCW_201446,0.8,,
BCW_200543,0.8,,
BCW_200491,0.8,,
empty,0.8,,
BCW_200900,0.8,,
BCW_200708,0.8,,
empty,0.8,,
BCW_201663,0.8,,
BCW_200326,0.8,,
BCW_201464,0.8,,
BCW_200466,0.8,,
BCW_201687,0.8,,
BCW_201148,0.8,,
BCW_200679,0.8,,
BCW_200898,0.8,,
empty,0.8,,
BCW_200623,0.8,,
BCW_200743,0.8,,
BCW_201448,0.8,,
BCW_200946,0.8,,
BCW_200987,0.8,,
BCW_200259,0.8,,
empty,0.8,,
BCW_200851,0.8,,
BCW_200531,0.8,,
BCW_200728,0.8,,
BCW_200901,0.8,,
BCW_200551,0.8,,
empty,0.8,,
BCW_201015,0.8,,
BCW_201986,0.8,,
BCW_200668,0.8,,
BCW_200273,0.8,,
BCW_200492,0.8,,
BCW_200640,0.8,,
BCW_201032,0.8,,
BCW_200285,0.8,,
BCW_201942,0.8,,
BCW_200884,0.8,,
BCW_200329,0.8,,
BCW_201111,0.8,,
BCW_200693,0.8,,
BCW_201994,0.8,,
BCW_200700,0.8,,
